code,name,description,refreshed_at,from_date,to_date
VENUSD,VEN/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2018-09-03 23:14:17,2018-07-05,2018-09-03
VETBTC,VET/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-09-04,2021-07-18
VETETH,VET/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-09-04,2020-03-25
VETUSD,VET/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-09-04,2021-07-18
VLDETH,VLD/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-14 23:27:33,2018-11-19,2020-03-14
VLDUSD,VLD/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-12-15 00:17:42,2018-11-19,2020-12-14
VSYBTC,VSY/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2019-01-18,2021-07-18
VSYUSD,VSY/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2019-01-18,2021-07-18
WAXBTC,WAX/BTC Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-10-22 23:18:09,2018-07-05,2020-10-22
WAXETH,WAX/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2020-03-25 23:23:03,2018-07-05,2020-03-25
WAXUSD,WAX/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2018-07-05,2021-07-18
WBTETH,WBT/ETH Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-04-22 23:18:05,2019-05-02,2021-04-22
WBTUSD,WBT/USD Exchange Rate,Exchange rates on BTIFinex exchange. Updated at 7:00pm EST.,2021-07-18 23:18:52,2019-05-02,2021-07-18
